Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 10 0 72.4 162.4 72.4 0
#1 service 4 0 169.11 259.11 79.11 0
#1 service 2 0 265.51 355.51 85.51 0
#1 service 5 0 358.51 448.51 88.51 0
#1 service 1 0 449.51 539.51 89.51 0
#1 service 3 0 541.75 631.75 91.75 0
#1 service 7 0 634.91 724.91 94.91 0
#1 service 9 0 728.07 818.07 98.07 0
#1 service 6 0 819.49 909.49 99.49 0
#1 service 8 0 911.72 1001.72 101.72 0
#1 service 12 0 1019.97 1109.97 119.97 0
#1 service 11 0 1112.8 1202.8 122.8 835.8
#1 finish 0 0 1268.87 1268.87 188.87 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1268.87 188.87 835.8
