Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 5 0 47.43 137.43 47.43 0
#1 service 4 0 140.43 230.43 50.43 0
#1 service 9 0 232.43 322.43 52.43 0
#1 service 8 0 327.43 417.43 57.43 0
#1 service 7 0 422.43 512.43 62.43 0
#1 service 3 0 515.43 605.43 65.43 0
#1 service 1 0 609.43 699.43 69.43 0
#1 service 2 0 700.43 790.43 70.43 0
#1 service 6 0 795.82 885.82 75.82 0
#1 service 10 0 917.44 1007.44 107.44 0
#1 finish 0 0 1042.8 1042.8 142.8 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1042.8 142.8 0
